tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2015-02-24 11:15:36 -0800,,Pacific Time (US & Canada)
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada)
570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,2015-02-24 11:14:33 -0800,,Pacific Time (US & Canada)
570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,@VirginAmerica SFO-PDX schedule is still MIA.,,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada)
570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,,heatherovieda,,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,,2015-02-24 09:39:46 -0800,this place called NYC,Eastern Time (US & Canada)
570265883513384960,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,,2015-02-24 08:55:56 -0800,,
570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada)
570249102404923392,negative,1.0,Customer Service Issue,1.0,Virgin America,,Leora13,,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,,2015-02-24 07:49:15 -0800,,
570239632807370753,negative,1.0,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,,2015-02-24 07:11:37 -0800,,
570207886493782019,negative,1.0,Bad Flight,1.0,Virgin America,,blackjackpro911,,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",
570114021854212096,negative,1.0,Flight Booking Problems,1.0,Virgin America,,jordanpichler,,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",,2015-02-23 22:52:29 -0800,,Vienna
570088404156698625,negative,1.0,Customer Service Issue,1.0,Virgin America,,Cuschoolie1,,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",2015-02-23 21:10:41 -0800,Washington DC,Quito
570084582780899328,negative,1.0,Customer Service Issue,1.0,Virgin America,,amanduhmccarty,,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",,2015-02-23 20:55:30 -0800,,Pacific Time (US & Canada)
570035876845084672,negative,1.0,Customer Service Issue,1.0,Virgin America,,DannyDouglass,,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,,2015-02-23 17:41:58 -0800,"San Francisco, CA",Pacific Time (US & Canada)
570025482344898560,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",,2015-02-23 17:00:40 -0800,Iowa City,Central Time (US & Canada)
569996412286582784,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,,2015-02-23 15:05:09 -0800,"new york, new york",Eastern Time (US & Canada)
569989034501500928,negative,1.0,Customer Service Issue,1.0,Virgin America,,rachie1126,,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,,2015-02-23 14:35:50 -0800,"New York, NY",Eastern Time (US & Canada)
569976620158578688,negative,1.0,Customer Service Issue,1.0,Virgin America,,onerockgypsy,,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,,2015-02-23 13:46:30 -0800,next city,Pacific Time (US & Canada)
569973821396152323,negative,1.0,Late Flight,0.6789,Virgin America,,noelduan,,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",,2015-02-23 13:35:23 -0800,SF ↔ NY,Eastern Time (US & Canada)
569967019958730753,negative,1.0,Lost Luggage,1.0,Virgin America,,gianagon,,0,@VirginAmerica everything was fine until you lost my bag,"[40.6413712, -73.78311558]",2015-02-23 13:08:21 -0800,New York + Panama,Eastern Time (US & Canada)
569946362126602240,negative,1.0,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,,2015-02-23 11:46:16 -0800,Los Angeles,
569935232033366017,negative,1.0,Customer Service Issue,1.0,Virgin America,,meme_meng,,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,,2015-02-23 11:02:02 -0800,,
569933816963342337,negative,1.0,Customer Service Issue,1.0,Virgin America,,GunsNDip,,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,,2015-02-23 10:56:25 -0800,,Pacific Time (US & Canada)
569933405506310144,negative,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,,2015-02-23 10:54:47 -0800,Los Angeles,
569933360564342784,negative,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,,2015-02-23 10:54:36 -0800,,Pacific Time (US & Canada)
569929243146088448,negative,1.0,Can't Tell,1.0,Virgin America,,GunsNDip,,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,,2015-02-23 10:38:14 -0800,,Pacific Time (US & Canada)
569926998824394752,negative,1.0,Flight Booking Problems,1.0,Virgin America,,jsatk,,0,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,"[0.0, 0.0]",2015-02-23 10:29:19 -0800,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
569919041244147712,negative,1.0,Can't Tell,0.6513,Virgin America,,MaryAnnTaylorT,,0,@VirginAmerica Why is the site down?  When will it be back up?,,2015-02-23 09:57:42 -0800,"New York, NY",Arizona
569911816937033728,negative,1.0,Cancelled Flight,1.0,Virgin America,,AlisonK33774854,,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,,2015-02-23 09:29:00 -0800,,
569911674158731264,negative,1.0,Late Flight,1.0,Virgin America,,GunsNDip,,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",,2015-02-23 09:28:26 -0800,,Pacific Time (US & Canada)
569910981868060673,negative,1.0,Customer Service Issue,0.6863,Virgin America,,MerchEngines,,0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",,2015-02-23 09:25:41 -0800,"Los Angeles, CA",Arizona
569909224521641984,negative,1.0,Customer Service Issue,0.6771,Virgin America,,ColorCartel,,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,,2015-02-23 09:18:42 -0800,"Austin, TX",Mountain Time (US & Canada)
569907336485019648,negative,1.0,Can't Tell,0.659,Virgin America,,MustBeSpoken,,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,,2015-02-23 09:11:12 -0800,,
569896805611089920,negative,1.0,Flight Booking Problems,0.6714,Virgin America,,mattbunk,,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,,2015-02-23 08:29:21 -0800,"Sterling Heights, MI",Eastern Time (US & Canada)
